year,School,Label,AOL,Pupils,Provider,subject,course_name,course_code,school_id
11,Edmund Rice College,A,ST,48,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,3230203
11,Dundonald High School,A,ST,39,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4210262
11,Ashfield Boys' High School,A,ST,129,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,1210015
11,Sacred Heart College,A,ST,68,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,2230298
11,St Mary's High School (Downpatrick),A,ST,19,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4230023
11,St Joseph's Boys' High (Newry),A,ST,24,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5230056
11,Coleraine Grammar School,A,ST,35,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,3420317
11,De La Salle High School,A,ST,45,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4230224
11,City of Armagh High School,A,ST,12,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5210121
11,St Mary's College (Irvinestown),A,ST,17,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,2230109
11,Integrated College Dungannon,A,ST,44,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5260286
11,Craigavon Senior High School,A,ST,154,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5210282
11,Lagan College,A,ST,34,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4260255
11,Markethill High,A,ST,22,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5210083
11,St Louise's Comprehensive College,A,ST,16,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,1230053
11,Fivemiletown College,A,ST,10,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5210097
11,St Patrick's College (Banbridge),A,ST,40,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5230076
11,Brownlow College,A,ST,20,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,5250216
11,St Patrick's College,A,ST,23,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,3230084
11,Strangford College,A,ST,57,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4260295
11,Fort Hill Integrated College,A,ST,20,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,4250072
11,Abbey Community College,A,ST,38,Own School,ICT,Pearson Edexcel BTEC Level 1 Level 2 First Award in Information and Creative Technology,600/4789/6,3210313
12,St Patrick's Academy (Lisburn),A,LLW,14,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4230165
12,St Louis' Grammar School,A,LLW,19,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5420045
12,Larne High School,A,LLW,39,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210038
12,Lisnagarvey High School,A,LLW,105,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4210051
12,Malone College,A,LLW,22,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1260294
12,St Mark's High,A,LLW,46,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230135
12,St Columba's College,A,LLW,17,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4230067
12,St Mary's High (Newry),A,LLW,18,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230108
12,Dromore High,A,LLW,46,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210064
12,St Colman's High School,A,LLW,15,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,4230161
12,St Paul's High (Bessbrook),A,LLW,33,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5230157
12,Drumglass High,A,LLW,22,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,5210231
12,St Joseph's College,A,LLW,25,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230275
12,St Genevieve's High,A,LLW,51,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1230155
12,St Mary's Limavady,A,LLW,62,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2230077
12,Magherafelt High School,A,LLW,21,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,3210035
12,Limavady High School,A,LLW,106,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,2210302
12,Ashfield Girls' High School,A,LLW,54,Own School,ICT,OCN NI Level 2 Certificate in Information Technology Applications,601/8497/8,1210014
